step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.554894579874762,0,0.0,0.9516935656511737,0,0.0,0.9593372500158455,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9617189682574121,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.945880816987223,0,0.0,0.9580577679871335,0,0.0,0.9577896748885266,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9608569915754424,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.86138233734368,0,0.0,0.9402053445575127,0,0.0,0.9475611030099649,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9377473210230829,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9385841370917148,0,0.0,0.9476125767438303,0,0.0,0.943391449293378,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.82870898066952,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,12.476934857726878,1,1.0,0.8159862189659495,0,0.0,0.9462858834543025,0,0.0,1.0,0,0.0,1.0,0,0.0,0.953960435317995,0,0.0,0.827047327685907,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9368432092483707,0,0.0,0.8121254587459739,0,0.0,0.9729086460260982,0,0.0,0.968268408485602,0,0.0,0.9988091053396022,0,0.0,0.9986444843213212,0,0.0,0.9531814665773838,0,0.0,0.6631803195476876,1,1.0
20.0,1,3.0,0.05357142857142857,11.768065437691012,0,0.0,0.8434008411881981,0,2.0,0.859768568199533,0,0.0,1.0,0,0.0,1.0,0,0.0,0.948303053780613,0,0.0,0.9203854423120917,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6086221042737225,1,3.0,0.6425363716192842,0,0.0,0.9322850089211887,0,0.0,0.9570960567261771,0,0.0,0.9132395405847915,0,0.0,0.8896062893161307,0,0.0,0.9230005770908388,0,0.0,0.9507536351969463,1,5.0
25.0,5,17.0,0.2361111111111111,10.225257861261873,2,6.0,0.7060925957300842,0,2.0,0.9287270735154068,0,0.0,0.9318856988466816,0,0.0,0.6117125332123295,0,0.0,0.6940009722026346,0,0.0,0.5974626170295383,0,0.0,1.0,0,0.0,1.0,3,11.0,0.486137949110899,0,0.0,0.6907000108931723,0,0.0,0.7180766824135915,0,0.0,0.7068129286604391,0,0.0,0.26937101457401535,0,4.0,0.44739389889650016,0,0.0,0.8616221286225115,0,0.0,0.9802626109124517,5,23.0
30.0,10,28.0,0.35,8.763360898122784,0,2.0,0.5834457615336519,1,3.0,0.6751522184757093,0,0.0,0.9763589379660311,0,0.0,0.924588943998414,2,6.0,0.492226684845743,2,7.0,0.13791147127942927,0,0.0,1.0,0,0.0,1.0,0,9.0,0.5309182846750383,0,0.0,0.9691617402351002,2,9.0,0.5323404519098989,0,0.0,0.653450200623062,1,7.0,0.5764213583750676,0,4.0,0.9313723010749462,2,4.0,0.6613091812839188,0,2.0,0.6774801316063954,10,53.0
35.0,8,14.0,0.14583333333333334,9.208087623304367,3,8.0,0.6606711160839083,2,6.0,0.4506681780987807,0,2.0,0.6731170266005884,0,0.0,0.7353116086366835,0,2.0,0.6020946922623712,0,6.0,0.29711049920769744,0,2.0,0.40880262121505306,0,0.0,1.0,0,0.0,0.8788051587029994,0,0.0,0.9857936858690731,0,5.0,0.7524089301503526,2,7.0,0.18896366923258331,0,4.0,0.8566847304460294,0,4.0,0.9171269808666748,0,0.0,0.6008256674050676,1,5.0,0.7511641378804174,8,51.0
40.0,12,36.0,0.32142857142857145,10.337126440842649,0,6.0,0.6378954861632214,5,26.0,0.4394605873962183,0,2.0,0.9537875461708991,1,3.0,0.7590112797141048,0,0.0,0.9208022596671455,0,4.0,0.8804510339237518,0,4.0,0.8840653494575956,0,0.0,1.0,1,1.0,0.734438122608903,0,0.0,0.7819772085016725,0,4.0,0.9169781123266244,0,8.0,0.8396510840586014,2,10.0,0.6228488023805981,0,0.0,0.5811035229998748,2,4.0,0.6520210570448716,1,12.0,0.8457471090380424,12,84.0
45.0,11,31.0,0.25833333333333336,9.318927017660307,2,4.0,0.6821203032585738,0,24.0,0.6191546818078125,1,6.0,0.5995907325033537,0,0.0,0.6147518733973738,0,2.0,0.820907599174483,0,4.0,0.9370786590288226,0,4.0,0.8781967512023586,0,0.0,1.0,3,13.0,0.46124019804283384,1,3.0,0.6381872346880461,0,0.0,0.7637157902849856,0,6.0,0.9138316401492516,1,7.0,0.5333578940225313,3,14.0,0.17499789663985585,0,0.0,0.700472845753431,0,4.0,0.6992394697194207,11,91.0
50.0,17,61.0,0.4485294117647059,8.576478625735207,0,2.0,0.6111103368344186,2,12.0,0.6986659425073525,1,9.0,0.7731806837664037,2,11.0,0.22718370977148,0,4.0,0.7616971016182518,0,0.0,0.9294112732137947,1,5.0,0.5923395437453867,0,2.0,0.9472297370273828,0,11.0,0.7168884397978804,0,0.0,0.6541212831491968,1,7.0,0.5078355611156403,1,4.0,0.4525788855774375,5,24.0,0.34184601113651675,0,19.0,0.42004720102148274,2,9.0,0.7082616742858656,2,8.0,0.5952427714512097,17,127.0
55.0,18,71.0,0.46710526315789475,8.82974980067725,3,10.0,0.6339047267487692,1,6.0,0.46654604447790343,0,6.0,0.7081750184054774,2,23.0,0.6213076853414484,2,11.0,0.5997575409535866,0,4.0,0.48577990490911854,0,3.0,0.7254227219030092,0,6.0,0.683671609900482,0,2.0,0.8972568220922611,0,0.0,0.979973056054003,3,18.0,0.6449876842180737,5,24.0,0.05989189084342001,0,26.0,0.514781958557841,0,6.0,0.9132076683751794,0,4.0,0.6819556345359636,2,6.0,0.6265909244419345,18,155.0
60.0,22,85.0,0.53125,8.961326050192486,6,34.0,0.4691815453036901,5,18.0,0.39372518841491727,1,8.0,0.7808006567845447,0,6.0,0.9036994711177049,1,6.0,0.4870647119550845,1,11.0,0.5470997377721663,0,0.0,0.4494505362776156,0,4.0,0.8151891351793723,0,0.0,0.8107397746894898,0,0.0,0.7435227783738717,0,14.0,0.6743277923278782,0,31.0,0.5820297833793387,2,15.0,0.6975671214046294,0,2.0,0.932830581748849,4,8.0,0.3453087479469769,2,16.0,0.7461454976088534,22,173.0
65.0,20,45.0,0.25862068965517243,8.49437593563279,2,32.0,0.5209888989109864,0,16.0,0.6141776514781241,1,7.0,0.6157931300253108,2,8.0,0.45663860853598043,1,11.0,0.6502094643886364,0,8.0,0.8666159997755422,3,12.0,0.15249172688101986,0,2.0,0.8775695296793279,2,9.0,0.5100965581827093,2,9.0,0.7367109905784108,2,8.0,0.4818015889125794,0,8.0,0.8887961616590421,1,9.0,0.5378010293022869,2,9.0,0.28783909858633994,1,17.0,0.522484556371598,1,5.0,0.6390639579253226,20,170.0
70.0,23,95.0,0.5053191489361702,8.449898120350245,1,7.0,0.5926205239643212,2,9.0,0.7135530398310883,2,14.0,0.6974425677580597,0,9.0,0.3198417720136291,0,2.0,0.8108732101538412,1,9.0,0.6698262731267238,4,32.0,0.5306928906075807,1,8.0,0.23191009413001484,0,6.0,0.7081836264949627,0,0.0,0.6785488631545196,1,10.0,0.5146349937271276,0,4.0,0.8885337166298196,6,34.0,0.45634006022451035,0,14.0,0.40124878852463625,1,9.0,0.5073912978099905,4,16.0,0.4660706993605539,23,183.0
